"","Id","LotArea","LotShape","LandContour","Utilities","LotConfig","Slope","DwellClass","OverallQuality","OverallCondition","YearBuilt","ExteriorCondition","BasementCondition","TotalBSF","CentralAir","LowQualFinSF","LivingArea","FullBath","HalfBath","BedroomAbvGr","KitchenQuality","KitchenAbvGr","Fireplaces","GarageType","GarageCars","PavedDrive","PoolArea","OpenPorchSF","MoSold","YrSold","SalePrice","X","X.1","LotShape_2","LotShape_3","LotShape_4","LandContour_HLS","LandContour_Low","LandContour_Lv1","Utilities_NoSewa","LotConfig_CulDSac","LotConfig_FR2","LotConfig_FR3","LotConfig_Inside","Slope_Mod","Slope_Sev","DwellClass_2fmCon","DwellClass_Duplex","DwellClass_Twnhs","DwellClass_TwnhsE","CentralAir_Y","GarageType_Attchd","GarageType_Basment","GarageType_BuiltIn","GarageType_CarPort","GarageType_Detchd","PavedDrive_P","PavedDrive_Y","OverallQuality_2","OverallQuality_3","OverallQuality_4","OverallQuality_5","OverallQuality_6","OverallQuality_7","OverallQuality_8","OverallQuality_9","OverallQuality_10","OverallCondition_3","OverallCondition_4","OverallCondition_5","OverallCondition_6","OverallCondition_7","OverallCondition_8","OverallCondition_9","ExteriorCondition_Gd","ExteriorCondition_TA","BasementCondition_Fa","BasementCondition_Gd","BasementCondition_NB","KitchenQuality_Ex","KitchenQuality_Fa","KitchenQuality_Gd"
"1",1056,11361,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1976,"TA","TA",1193,"Y",0,1523,2,0,3,"TA",1,1,"Attchd",2,"Y",0,0,5,2008,180000,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"2",43,9180,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",5,7,1983,"TA","TA",840,"Y",0,884,1,0,2,"Gd",1,0,"Attchd",2,"Y",0,0,12,2007,144000,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"3",1332,10780,3,"Lvl","AllPub","Inside","Gtl","1Fam",5,5,1976,"TA","TA",911,"Y",0,954,1,0,3,"TA",1,0,"Detchd",2,"Y",0,0,7,2006,132500,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"4",865,8640,4,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2007,"TA","TA",1372,"Y",0,1372,2,0,3,"Gd",1,0,"Attchd",2,"Y",0,140,5,2008,250580,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"5",718,10000,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,6,1973,"TA","TA",1176,"Y",0,1178,1,1,3,"Gd",1,1,"Attchd",2,"Y",0,0,11,2008,157000,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"6",52,6240,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,6,1934,"TA","TA",816,"Y",360,1176,1,0,3,"TA",1,1,"Detchd",2,"Y",0,0,9,2006,114500,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"7",1264,13515,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,6,1919,"TA","TA",764,"Y",0,1824,1,0,3,"TA",1,1,"Detchd",2,"N",0,0,7,2007,180500,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"8",1114,8923,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,7,1953,"TA","TA",1008,"Y",0,1008,1,0,2,"Gd",1,0,"Attchd",1,"Y",0,18,5,2007,134500,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"9",38,8532,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,6,1954,"TA","TA",1297,"Y",0,1297,1,0,3,"TA",1,1,"Attchd",2,"Y",0,0,10,2009,153000,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"10",14,10652,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2006,"TA","TA",1494,"Y",0,1494,2,0,3,"Gd",1,1,"Attchd",3,"Y",0,33,8,2007,279500,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
