"","Id","LotArea","LotShape","LandContour","Utilities","LotConfig","Slope","DwellClass","OverallQuality","OverallCondition","YearBuilt","ExteriorCondition","BasementCondition","TotalBSF","CentralAir","LowQualFinSF","LivingArea","FullBath","HalfBath","BedroomAbvGr","KitchenQuality","KitchenAbvGr","Fireplaces","GarageType","GarageCars","PavedDrive","PoolArea","OpenPorchSF","MoSold","YrSold","SalePrice","X","X.1","LandContour_HLS","LandContour_Low","LandContour_Lv1","Utilities_NoSewa","LotConfig_CulDSac","LotConfig_FR2","LotConfig_FR3","LotConfig_Inside","Slope_Mod","Slope_Sev","DwellClass_2fmCon","DwellClass_Duplex","DwellClass_Twnhs","DwellClass_TwnhsE","CentralAir_Y","GarageType_Attchd","GarageType_Basment","GarageType_BuiltIn","GarageType_CarPort","GarageType_Detchd","LotShape_Code","ExteriorCondition_Code","BasementCondition_Code","KitchenQuality_Code","PavedDrive_Code"
"1",3,11250,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2001,"TA","TA",920,"Y",0,1786,2,1,3,"Gd",1,1,"Attchd",2,"Y",0,42,9,2008,223500,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"2",4,9550,3,"Lvl","AllPub","Corner","Gtl","1Fam",7,5,1915,"TA","Gd",756,"Y",0,1717,1,0,3,"Gd",1,1,"Detchd",3,"Y",0,35,2,2006,140000,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,2,1,2,1
"3",5,14260,3,"Lvl","AllPub","FR2","Gtl","1Fam",8,5,2000,"TA","TA",1145,"Y",0,2198,2,1,4,"Gd",1,1,"Attchd",3,"Y",0,84,12,2008,250000,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"4",6,14115,3,"Lvl","AllPub","Inside","Gtl","1Fam",5,5,1993,"TA","TA",796,"Y",0,1362,1,1,1,"TA",1,0,"Attchd",2,"Y",0,30,10,2009,143000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"5",8,10382,3,"Lvl","AllPub","Corner","Gtl","1Fam",7,6,1973,"TA","TA",1107,"Y",0,1517.22206703911,2,1,3,"TA",1,2,"Attchd",2,"Y",0,204,11,2009,200000,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"6",12,11924,3,"Lvl","AllPub","Inside","Gtl","1Fam",9,5,2005,"TA","TA",1175,"Y",0,2324,3,0,4,"Ex",1,2,"BuiltIn",3,"Y",0,21,7,2006,345000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,NA,2,2,1,1
"7",14,10652,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2006,"TA","TA",1494,"Y",0,1494,2,0,3,"Gd",1,1,"Attchd",3,"Y",0,33,8,2007,279500,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"8",15,10920,3,"Lvl","AllPub","Corner","Gtl","1Fam",6,5,1960,"TA","TA",1253,"Y",0,1253,1,1,2,"TA",1,1,"Attchd",1,"Y",0,213,5,2008,157000,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"9",17,11241,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",6,7,1970,"TA","TA",1004,"Y",0,1004,1,0,2,"TA",1,1,"Attchd",2,"Y",0,0,3,2010,149000,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"10",21,14215,3,"Lvl","AllPub","Corner","Gtl","1Fam",8,5,2005,"TA","TA",1064.51174377224,"Y",0,2376,3,1,4,"Gd",1,1,"BuiltIn",3,"Y",0,154,11,2006,325300,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,2,2,2,1
