"","Id","LotArea","LotShape","LandContour","Utilities","LotConfig","Slope","DwellClass","OverallQuality","OverallCondition","YearBuilt","ExteriorCondition","BasementCondition","TotalBSF","CentralAir","LowQualFinSF","LivingArea","FullBath","HalfBath","BedroomAbvGr","KitchenQuality","KitchenAbvGr","Fireplaces","GarageType","GarageCars","PavedDrive","PoolArea","OpenPorchSF","MoSold","YrSold","SalePrice","LandContour_HLS","LandContour_Low","LandContour_Lv1","Utilities_Allpub","LotConfig_CulDSac","LotConfig_FR2","LotConfig_FR3","LotConfig_Inside","Slope_Mod","Slope_Sev","DwellClass_2fmCon","DwellClass_Duplex","DwellClass_Twnhs","DwellClass_TwnhsE","CentralAir_Y","GarageType_Attchd","GarageType_Basment","GarageType_BuiltIn","GarageType_CarPort","GarageType_Detchd","ExteriorCondition_Code","BasementCondition_Code","KitchenQuality_Code","PavedDrive_Code","Garage_Attchd_Cars","Garage_Detchd_Cars","Garage_BuiltIn_Cars","Garage_Basment_Cars","OverallQuality_YearBuilt","TotalBSF_Bedrooms","KitchenQuality_KitchenAbvGr","TotalBSF_BasementCondition","ExteriorCondition_Code_OverallCondition","ExteriorCondition_YearBuilt","SalesQuarter","SalesQuarter_MoSold","QtrSold","QtrSold_MoSold"
"415",1248,12328,3,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1976,"TA","TA",1012,"Y",0,1034,1,0,3,"TA",1,0,"Attchd",3,"Y",0,0,5,2010,169900,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,3,0,0,0,11856,3036,3,2024,10,3952,"Q2","Q2.5","2","2.5"
"463",1387,16692,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,1978,"TA","TA",1392,"Y",0,2784,3,1,5,"Gd",1,2,"Attchd",2,"Y",519,112,7,2006,250000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,13846,6960,2,2784,10,3956,"Q3","Q3.7","3","3.7"
"179",525,11787,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,1996,"TA","TA",1379,"Y",0,2398,2,1,3,"Gd",1,1,"Attchd",3,"Y",0,60,8,2007,315750,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,3,0,0,0,13972,4137,2,2758,10,3992,"Q3","Q3.8","3","3.8"
"526",314,215245,1,"Low","AllPub","Inside","Sev","1Fam",7,5,1965,"TA","TA",2136,"Y",0,2036,2,0,3,"TA",1,2,"Attchd",2,"Y",0,0,6,2009,375000,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,13755,6408,3,4272,10,3930,"Q2","Q2.6","2","2.6"
"195",565,13346,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",7,5,1992,"TA","TA",1095,"Y",0,2295,2,1,4,"Gd",1,1,"Attchd",2,"Y",0,40,7,2006,268000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,13944,4380,2,2190,10,3984,"Q3","Q3.7","3","3.7"
"938",650,1936,4,"Lvl","AllPub","Inside","Gtl","Twnhs",4,6,1970,"TA","TA",630,"Y",0,630,1,0,1,"TA",1,0,"Attchd",0,"Y",0,0,12,2007,84500,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,2,2,3,1,0,0,0,0,7880,630,3,1260,12,3940,"Q4","Q4.12","4","4.12"
"1142",984,11250,4,"Lvl","AllPub","Corner","Gtl","1Fam",8,5,2002,"TA","TA",1128,"Y",0,2290,2,1,4,"Gd",1,1,"Attchd",2,"Y",0,0,5,2008,255900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,16016,4512,2,2256,10,4004,"Q2","Q2.5","2","2.5"
"1323",1258,4060,4,"Lvl","AllPub","Corner","Gtl","1Fam",5,8,1922,"TA","TA",864,"Y",0,864,1,0,2,"TA",1,0,"Attchd",0,"Y",0,96,7,2009,99900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,0,0,0,0,9610,1728,3,1728,16,3844,"Q3","Q3.7","3","3.7"
"1253",1146,6240,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,6,1928,"TA","TA",1042,"Y",0,1576,1,0,3,"TA",1,1,"Detchd",1,"Y",0,0,8,2006,149000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,3,1,0,1,0,0,9640,3126,3,2084,12,3856,"Q3","Q3.8","3","3.8"
"1268",1172,9120,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,6,1958,"TA","TA",1261,"Y",0,1261,1,0,3,"TA",1,1,"Attchd",2,"Y",0,0,11,2008,163000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,11748,3783,3,2522,12,3916,"Q4","Q4.11","4","4.11"
